acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
-0.242272,-0.881939,0.006782,-119.385902,44.797012,-40.952106,walking forward
0.317221,-1.068751,0.426314,-31.478073,57.793194,-11.900245,walking forward
-0.215004,-1.170591,1.01634,-39.657887,-37.369663,15.789934,walking forward
0.066058,-0.358562,0.276995,-2.40765,-62.643494,21.026196,walking forward
-0.321261,-0.604902,0.230098,129.748978,-51.702511,33.717033,walking forward
0.295827,-1.508337,0.081897,138.392014,-92.565842,57.216572,walking forward
-0.320904,-1.260836,0.156465,15.322309,30.774668,11.684245,walking forward
-0.218291,-0.904375,0.130374,-50.89119,45.506161,-41.725685,walking forward
0.02686,-0.812396,0.098365,-75.944366,28.399248,4.956552,walking forward
-0.152368,-0.956021,0.009439,-107.058739,44.146748,-38.34441,walking forward
0.363557,-1.213917,0.432955,-72.627251,33.539047,-3.35017,walking forward
-0.22267,-1.187847,1.043318,-37.639191,-34.361874,18.062235,walking forward
0.10829,-0.276035,0.327991,-40.990818,-74.919167,23.7155,walking forward
-0.146227,-0.560439,0.159554,125.338577,-54.586185,33.975178,walking forward
0.257471,-1.353012,0.174405,168.243561,-31.797125,21.394251,walking forward
-0.006966,-1.314502,-0.033302,107.623466,-100.155884,67.290466,walking forward
-0.343258,-1.255221,0.162195,-6.700323,22.992151,2.034207,walking forward
-0.351073,-0.89996,0.183375,-44.070644,24.96055,-50.336109,walking forward
0.038463,-0.803078,0.115472,-79.378197,86.097549,-3.600687,walking forward
-0.245845,-0.913129,0.152457,-146.608719,39.08852,-32.576164,walking forward
0.14376,-1.032017,-0.020775,-59.520149,127.484673,-66.208862,walking forward
0.324327,-1.05322,0.555057,-35.443111,27.692719,4.557603,walking forward
-0.156001,-1.20345,1.068887,-6.552235,-47.873482,23.525961,walking forward
0.049122,-0.366378,0.404952,-72.48748,-33.86499,25.292358,walking forward
-0.067834,-0.395202,0.22707,123.2239,-86.202339,42.442287,walking forward
-0.132612,-0.84578,0.143287,180.017654,26.502153,4.092691,walking forward
0.374486,-1.506943,0.100659,159.023682,-41.852375,35.518524,walking forward
-0.085256,-1.342888,-0.056155,105.342987,-80.843605,70.169701,walking forward
-0.392818,-1.245881,0.194976,6.772875,27.614021,11.665376,walking forward
-0.421347,-1.057877,0.108518,-36.899391,34.226563,-43.168156,walking forward
-0.270559,-0.908431,0.102232,-53.48056,64.257294,-52.723976,walking forward
-0.02146,-0.782879,0.105724,-80.776329,93.052246,1.060102,walking forward
-0.168928,-0.868126,0.1202,-132.151917,-11.575739,-6.477162,walking forward
-0.154979,-0.908813,-0.061854,-137.112503,62.663403,-43.738148,walking forward
0.050202,-1.056438,-0.12971,-63.719685,97.629845,-61.183708,walking forward
0.291889,-0.851995,0.696533,-16.11277,-7.930744,16.765196,walking forward
-0.220725,-0.995233,1.079248,-91.695679,-44.498482,19.753963,walking forward
-0.013308,-0.346487,0.47743,-108.031219,-54.86161,3.793768,walking forward
-0.135222,-0.074502,0.345224,-9.666456,-112.533653,35.559612,walking forward
-0.152841,-0.17392,0.26515,55.340149,-106.066055,21.124668,walking forward
-0.132877,-0.197141,0.121413,110.126854,-65.121124,21.265295,walking forward
-0.211452,-0.632019,0.150188,175.199814,-4.860846,19.776091,walking forward
0.179302,-1.255747,0.168784,181.169296,-1.378606,9.375472,walking forward
